index,대화0,대화1,대화2,대화3,대화4,대화5,대화6,대화7,대화8,대화9
44,/.///////.////////P/h/e/w/,/(/Y/o/u/ /a/r/e/ /c/l/o/s/i/n/g/ /y/o/u/r/ /e/y/e/s/./)/,/W/h/a/t/ /d/o/ /p/e/o/p/l/e/ /d/o/ /t/h/e/s/e/ /d/a/y/s/?/ /I/ /a/m/ /c/u/r/i/o/u/s///////.///////./,/I/ /t/h/r/e/w/ /t/h/e/ /d/o/l/l/ /a/w/a/y/ /a/ /l/o/n/g/ /t/i/m/e/ /a/g/o/./ ////////B/e/c/a/u/s/e/ /t/h/e/r/e/ /w/a/s/ /n/o/ /p/l/a/c/e/ /t/o/ /p/u/t/ /i/t/.,/W/h/e/n/e/v/e/r/ /I/ /s/e/e/ /m/y/s/e/l/f/ /i/n/ /t/h/e/ /m/i/r/r/o/r/ /I/ /f/e/e/l/ /s/t/r/a/n/g/e/././,/W/h/a/t/ /w/i/l/l/ /h/a/p/p/e/n/ /t/o/ /u/s/ /w/h/e/n/ /t/i/m/e/ /s/t/o/p/s/?/ /I/ /c/a/n/'/t/ /i/m/a/g/i/n/e/././,/W/h/a/t/ /s/h/o/u/l/d/ /I/ /d/o/ /i/f/ /s/o/m/e/o/n/e/ /h/a/t/e/s/ /m/e/?/ ////////.////////./////////I/t/ /i/s/ /t/o/o/ /h/a/r/d/./,/N/o/w/ /I/ /t/h/i/n/k/ /a/b/o/u/t/ /i/t/ /a/g/a/i/n/./ /T/h/e/ /f/a/c/t/ /t/h/e/r/e/ /i/s/ /s/t/i/l/l/ /y/o/u/ /u/m/////./////././,I/ /o/p/e/n/ /a/n/ /u/m/b/r/e/l/l/a/ /a/n/d/ /d/r/y/ /i/t/ /w/h/e/n/ /y/o/u/ /a/r/e/ /n/o/t/ /a/r/o/u/n/d/./ ///////S/o/ /d/o/n/'/t/ /w/o/r/r/y/./,/(/Y/o/u/ /s/m/i/l/e/ /w/h/e/n/ /y/o/u/r/ /e/y/e/s/ /m/e/e/t/ /m/e/ /w/h/i/l/e/ /y/a/w/n/i/n/g/ /q/u/i/e/t/l/y/./)/
45,/././S/m/e/l/l/s/ /l/i/k/e/ /o/l/d/./,/I/ /w/a/n/t/ /y/o/u/ /t/o/ /l/e/a/v/e/ /m/e/ /a/l/o/n/e/./,/H/o/w/ /m/u/c/h/ /t/i/m/e/ /d/o/ /w/e/ /h/a/v/e/ /l/e/f/t/ /t/o/d/a/y/?/,/I/ /w/a/n/t/ /s/o/m/e/o/n/e/ /t/o/ /l/i/v/e/ /m/y/ /l/i/f/e/ /i/n/s/t/e/a/d/ /o/f/ /m/e/./ //I/ /m/e/a/n/ /i/t////////.///////./,/L/a/s/t/ /t/i/m/e/ /w/h/e/n/ /I/ /w/a/s/ /p/u/t/t/i/n/g/ /o/n/ /a/ /s/t/i/c/k/e/r/ /I/ /a/c/c/i/d/e/n/t/a/l/l/y/ /f/o/l/d/e/d/ /i/t/ /i/n/ /h/a/l/f/./ /I/ /t/h/r/e/w/ /i/t/ /a/w/a/y/ /w/a/s/t/e/f/u/l/l/y/./,/M/e/m/o/r/i/e/s/ /a/r/e/ /f/a/d/i/n/g/ /a/w/a/y/ /l/i/k/e/ /r/a/i/n/w/a/t/e/r/ /i/s/ /d/r/y/i/n/g/ /u/p/./ ///////.///////.////////I/ /a/m/ /l/o/s/i/n/g/ /m/y/ /l/o/n/g/i/n/g/ /a/s/ /w/e/l/l/./,/I/f/ /I/ /b/e/c/o/m/e/ /a/ /b/i/r/d/ /I/ /w/a/n/t/ /t/o/ /t/r/a/v/e/l/ /a/l/l/ /o/v/e/r/ /t/h/e/ /w/o/r/l/d/./,/I/ /g/u/e/s/s/ /j/o/y/ /a/n/d/ /s/o/r/r/o/w/ /a/r/e/ /i/n/e/v/i/t/a/b/l/y/ /c/o/e/x/i/s/t/./,/I/ /c/a/n/ /n/o/t/ /l/e/a/v/e/ /m/y/ /u/m/b/r/e/l/l/a/ /l/i/k/e/ /t/h/a/t/./ /I/t/ /s/h/o/u/l/d/ /b/e/ /i/n/ /t/h/e/ /u/m/b/r/e/l/l/a/ /s/t/a/n/d/./,/T/h/e/r/e/ /i/s/ /n/o/t/h/i/n/g/ /m/e/a/n/i/n/g/l/e/s/s/ /i/n/ /t/h/e/ /w/o/r/l/d/./ /I/t/ /c/o/u/l/d/ /b/e/ /m/e/a/n/i/n/g/f/u/l/ /i/f/ /I/ /l/o/o/k/ /i/t/ /c/l/o/s/e/l/y/./
46,/I/'/m/ /a/ /l/i/t/t/l/e/ /h/u/n/g/r/y/./,/T/h/e/ /t/i/m/e/ /t/h/a/t/ /g/o/e/s/ /o/n/ /w/i/t/h/o/u/t/ /a/ /h/i/t/c/h/././,/E/v/e/n/ /i/f/ /I/ /s/e/e/ /t/h/e/ /s/u/n/s/e/t/ /I/ /d/o/n/'/t/ /r/e/a/l/l/y/ /t/h/i/n/k/ /a/b/o/u/t/ /i/t///////.///////./,/I/ /f/e/e/l/ /r/e/a/l/l/y/ /b/a/d/ /w/h/e/n/ /I/ /s/t/e/p/ /o/n/ /a/ /g/u/m/ /o/n/ /t/h/e/ /s/t/r/e/e/t///////.//////./,/W/h/e/n/ /r/a/i/n/ /f/a/l/l/s/ /w/h/i/l/e/ /t/h/e/ /s/u/n/ /i/s/ /s/h/i/n/i/n/g/ /i/t/ /i/s/ /c/a/l/l/e/d/ /a/ /s/u/n/ /s/h/o/w/e/r/./ /I/ /h/a/v/e/ /s/e/e/n/ /i/t/ /w/h/e/n/ /I/ /w/a/s/ /a/ /k/i/d/ /s/o/ /I/ /r/e/m/e/m/b/e/r/ /i/t/./,/I/t/ /i/s/ /g/o/o/d/ /t/o/ /m/e/m/o/r/i/z/e/ /t/h/o/s/e/ /d/a/y/s/ /b/u/t/ /i/t/ /i/s/ /s/a/d/ /t/o/o/./,/I/ /t/h/i/n/k/ /m/y/ /t/h/r/o/a/t/ /i/s/ /g/e/t/t/i/n/g/ /a/ /l/i/t/t/l/e/ /b/e/t/t/e/r/ /n/o/w/ /b/e/c/a/u/s/e/ /I/ /h/a/v/e/ /v/e/n/t/i/l/a/t/e/d/ /m/o/r/e/ /o/f/t/e/n/./,/I/ /a/m/ /g/e/t/t/i/n/g/ /t/i/r/e/d/ /b/u/t/ /I/ /a/m/ /s/t/i/l/l/ /t/r/y/i/n/g/ /t/o/ /g/o/ /t/h/r/o/u/g/h/ /i/t/./,/G/r/o/w/i/n/g/ /p/l/a/n/t/s/ /i/s/ /p/a/t/i/e/n/c/e/ /a/n/d/ /s/i/n/c/e/r/i/t/y/./ ///////I/ /b/e/l/i/e/v/e/ /i/t/ /w/i/l/l/ /b/l/o/o/m/ /s/o/m/e/d/a/y/./,/.///////.///////W/e/l/l/////// /I/ /a/m/ /s/u/r/e/ /I/ /g/o/t/ /i/t/ /w/r/o/n/g/
47,/W/h/a/t/ /t/i/m/e/ /i/s/ /i/t/ /n/o/w/?/,/D/o/ /y/o/u/ /h/a/v/e/ /s/o/m/e/t/h/i/n/g/ /t/o/ /s/a/y/ /f/o/r/ /m/e/?,/A/t/ /n/i/g/h/t/ ///////I/ /c/a/n/ /o/n/l/y/ /h/e/a/r/ /t/h/e/ /s/o/u/n/d/ /o/f/ /r/a/i/n/./ ///////W/h/a/t/ /a/ /q/u/i/e/t/ /n/i/g/h/t/./,/I/ /f/e/e/l/ /t/h/a/t/ /t/h/e/ /f/l/o/o/r/ /i/s/ /s/l/i/g/h/t/l/y/ /t/i/l/t/e/d/./ ///////I/s/ /i/t/ /j/u/s/t/ /a/ /f/e/e/l/i/n/g/?/,/I/f/ /I/ /l/o/o/k/ /a/t/ /t/h/e/ /c/l/o/u/d/s/ /I/ /t/h/i/n/k/ /I/ /c/a/n/ /w/a/l/k/ /o/n/ /t/h/e/m/ /b/u/t/ /I/ /c/a/n/'/t/./,/I/ /d/o/ /n/o/t/ /r/e/m/e/m/b/e/r/ /w/h/e/n/ /I/ /s/a/w/ /m/o/v/i/e/s/ /b/u/t/ /I/ /w/i/l/l/ /g/o/ /t/o/ /w/a/t/c/h/ /a/ /m/o/v/i/e/ /s/o/m/e/d/a/y/./,/W/h/e/n/ /I/ /r/e/m/e/m/b/e/r/ /t/h/o/s/e/ /d/a/y/s/ /I/ /t/h/i/n/k/ /i/t/ /i/s/ /g/o/o/d/ /e/v/e/n/ /i/f/ /i/t/ /w/a/s/ /s/a/d/ /b/u/t/ /h/a/p/p/y/./,/I/ /f/e/e/l/ /u/n/c/o/m/f/o/r/t/a/b/l/e/ /w/h/e/n/ /m/y/ /b/a/c/k/ /h/u/r/t/s/./ /N/e/e/d/ /t/o/ /w/o/r/k/ /o/u/t/ /v/e/r/y/ /h/a/r/d/./,/T/h/e/r/e/ /w/a/s/ /a/ /t/i/m/e/ /w/h/e/n/ /f/o/o/d/ /g/o/t/ /a/l/l/ /o/v/e/r/ /t/h/e/ /k/i/t/c/h/e/n/ /b/e/c/a/u/s/e/ /I/ /o/p/e/n/e/d/ /c/a/n/n/e/d/ /f/o/o/d/ /w/r/o/n/g/./ ///////.///////.///////I/ /h/a/v/e/ /t/o/ /b/e/ /c/a/r/e/f/u/l/./,/(/Y/o/u/ /a/r/e/ /l/o/o/k/i/n/g/ /a/t/ /y/o/u/r/ /h/a/n/d/s/./)/ /I/ /h/a/v/e/ /b/e/e/n/ /t/h/i/n/k/i/n/g/ /a/n/d/ /I/ /t/h/i/n/k/ /I/ /h/a/v/e/ /s/m/a/l/l/ /h/a/n/d/s/./ ///////I/t/ /i/s/ /n/o/t/ /u/n/c/o/m/f/o/r/t/a/b/l/e/./
48,/././W/h/a/t/ /s/h/o/u/l/d/ /I/ /d/o/?/,/L/i/f/e/ /i/s/ /a/l/w/a/y/s/ /d/u/l/l/ /a/n/d/ /b/o/r/i/n/g/././,/I/ /h/o/p/e/ /t/h/e/ /d/a/y/ /c/o/m/e/s/ /w/h/e/n/ /I/ /f/e/e/l/ /b/e/t/t/e/r/./,/I/ /w/a/n/t/ /t/o/ /l/i/v/e/ /o/n/ /a/ /s/o/f/t/ /f/l/o/o/r/./,/I/ /h/a/v/e/ /l/i/v/e/d/ /b/u/s/y/ /b/u/t/ /I/ /t/h/i/n/k/ /i/t/ /i/s/ /g/o/o/d/ /t/o/ /t/a/k/e/ /a/ /b/r/e/a/k/ /s/o/m/e/t/i/m/e/s/./,/I/ /e/v/e/n/ /d/o/ /n/o/t/ /k/n/o/w/ /w/h/a/t/ /k/i/n/d/ /o/f/ /m/o/v/i/e/s/ /h/a/v/e/ /b/e/e/n/ /r/e/l/e/a/s/e/d/ /t/h/e/s/e/ /d/a/y/s/./,/I/ /c/a/n/ /f/e/e/l/ /t/h/a/t/ /m/y/ /e/n/v/i/r/o/n/m/e/n/t/ /i/s/ /i/m/p/r/o/v/i/n/g/./ /////////I/s/ /i/t/ /a/ /g/o/o/d/ /l/i/f/e/?/,/I/ /r/e/m/e/m/b/e/r/ /b/u/y/i/n/g/ /a/ /s/n/a/c/k/ /w/i/t/h/ /1/d/o/l/l/a/r/ /i/n/ /f/r/o/n/t/ /o/f/ /t/h/e/ /s/t/a/t/i/o/n/e/r/y/ /s/t/o/r/e/ /w/h/e/n/ /I/ /w/a/s/ /c/h/i/l/d/./ /////I/ /c/a/n/n/o/t/ /a/f/f/o/r/d/ /i/t/ /t/h/e/s/e/ /d/a/y/s/ /w/i/t/h/ /t/h/a/t/ /p/r/i/c/e/./,/I/ /w/i/l/l/ /b/e/ /a/l/w/a/y/s/ /c/a/r/e/f/u/l/./ /i/t/ /i/s/ /g/o/o/d/ /t/o/ /b/e/ /p/r/e/p/a/r/e/d/ /f/o/r/ /s/o/m/e/t/h/i/n/g/ /t/o/ /h/a/p/p/e/n/.,/T/h/e/ /m/o/r/e/ /i/s/ /t/h/e/ /b/e/t/t/e/r/ /b/u/t/ /I/t/ /d/e/p/e/n/d/s/ /o/n/ /w/h/a/t/ /t/h/e/ /c/r/i/t/e/r/i/a/ /a/r/e/./
49,/.////////.///////W/h/y/?/,/T/h/e/ /w/a/l/l/p/a/p/e/r/ /s/m/e/l/l/s/ /l/i/k/e/ /o/l/d/./,/I/t/'/s/ /r/e/a/l/l/y/ /h/a/r/d/ /t/o/ /g/e/t/ /t/o/ /b/e/d/ /e/a/r/l/y///////.///////./,/I/t/ /i/s/ /d/i/f/f/i/c/u/l/t/ /t/o/ /m/a/k/e/ /s/o/m/e/t/h/i/n/g/ /w/i/t/h/ /a/ /p/a/p/e/r/./,/F/o/n/d/ /m/e/m/o/r/i/e/s/ /a/r/e/ /b/e/i/n/g/ /f/o/r/g/o/t/t/e/n/./ /B/u/t/ /w/h/a/t/ /I/ /m/i/s/s/ /t/h/e/r/e/'/s/ /n/o/t/h/i/n/g/ /I/ /c/a/n/ /d/o/.,/I/ /g/e/t/ /h/u/n/g/r/y/ /w/h/e/n/ /I/ /s/e/e/ /f/o/o/d/././ /A/n/d/ /w/h/e/n/ /I/ /'/m/ /t/a/l/k/i/n/g/ /a/b/o/u/t/ /f/o/o/d/ /t/o/o/./,/I/ /c/a/n/ /s/e/e/ /w/e/l/l/ /o/u/t/ /o/f/ /t/h/e/ /w/i/n/d/o/w/ /b/e/c/a/u/s/e/ /i/t/ /b/e/c/o/m/e/ /c/l/e/a/n/./,/I/ /f/e/e/l/ /m/o/r/e/ /e/m/o/t/i/o/n/a/l/ /w/h/e/n/ /I/ /l/i/s/t/e/n/ /t/o/ /m/u/s/i/c/ /o/n/ /a/ /r/a/i/n/y/ /d/a/y/./,/I/ /o/n/c/e/ /l/i/s/t/e/n/e/d/ /t/o/ /m/u/s/i/c/ /t/h/a/t/ /w/a/s/ /n/i/c/e/ /w/h/i/l/e/ /w/a/l/k/i/n/g/ /d/o/w/n/ /t/h/e/ /s/t/r/e/e/t/./ /I/ /w/o/n/d/e/r/ /w/h/a/t/ /t/h/e/ /t/i/t/l/e/ /i/s/./,/I/ /h/e/a/r/d/ /a/ /b/i/r/d/ /f/l/y/i/n/g/ /o/u/t/s/i/d/e/ /t/h/e/ /w/i/n/d/o/w/./ ///////I/s/ /i/t/ /j/u/s/t/ /m/e/ /o/r/ /i/s/ /i/t/ /r/e/a/l/?/
50,/I/'/m/ /t/i/r/e/d/ /o/f/ /d/o/i/n/g/ /n/o/t/h/i/n/g/././,/(/Y/o/u/ /s/h/r/i/n/k/ /y/o/u/r/s/e/l/f/ /l/i/k/e/ /a/ /c/i/r/c/l/e/./)/,/O/u/t/s/i/d/e/ /i/s/ /a/l/m/o/s/t/ /g/r/a/y/i/s/h/ /b/e/c/a/u/s/e/ /o/f/ /t/h/e/ /r/a/i/n/./,/I/ /f/e/e/l/ /l/i/k/e/ /d/u/s/t/ /i/s/ /f/a/l/l/i/n/g/ /f/r/o/m/ /t/h/e/ /c/e/i/l/i/n/g/./ ///////S/h/o/u/l/d/ /I/ /c/l/e/a/n/ /i/t/ /u/p/?/,/N/o/w/ /I/ /v/a/g/u/e/l/y/ /r/e/m/e/m/b/e/r/ /t/h/o/s/e/ /d/a/y/s/./,/E/v/e/r/y/o/n/e/ /h/a/s/ /a/ /m/e/m/o/r/y/ /t/h/a/t/ /t/h/e/y/ /w/a/n/t/ /t/o/ /f/o/r/g/e/t/./ /O/f/ /c/o/u/r/s/e/ /m/e/ /t/o/o/./,/I/ /f/e/e/l/ /s/a/d/ /w/h/e/n/ /I/ /f/o/r/g/e/t/ /h/a/p/p/y/ /m/e/m/o/r/i/e/s/./ /////////B/e/c/a/u/s/e/ /I/ /c/a/n/n/o/t/ /c/a/t/c/h/ /i/t/./,/I/t/ /h/a/s/ /b/e/e/n/ /a/ /l/o/n/g/ /t/i/m/e/ /s/i/n/c/e/ /I/ /w/e/n/t/ /t/o/ /k/a/r/a/o/k/e/./ /I/ /h/e/a/r/d/ /t/h/a/t/ /t/h/e/r/e/ /a/r/e/ /s/m/a/l/l/ /k/a/r/a/o/k/e/ /r/o/o/m/s/ /t/h/e/s/e/ /d/a/y/s/./,/W/h/e/n/ /I/ /l/i/s/t/e/n/ /t/o/ /a/n/ /e/x/c/i/t/i/n/g/ /s/o/n/g/ /m/y/ /s/h/o/u/l/d/e/r/s/ /g/o/ /u/p/ /a/n/d/ /d/o/w/n/ /w/i/t/h/o/u/t/ /r/e/a/l/i/z/i/n/g/./ ///////I/t/ /i/s/ /t/o/o/ /m/u/c/h/ /t/o/ /e/v/e/n/ /d/a/n/c/e/././,/E/v/e/n/ /i/f/ /I/ /h/e/a/r/ /t/h/e/ /s/a/m/e/ /t/h/i/n/g/ /s/o/m/e/t/i/m/e/s/ /I/ /g/e/t/ /d/i/f/f/e/r/e/n/t/ /f/e/e/l/i/n/g/s/ ///////w/h/e/n/ /I/ /h/e/a/r/ /i/t/ /a/g/a/i/n/./ ///////E/v/e/n/ /n/o/w/./
51,/././M/y/ /h/e/a/d/ /f/e/e/l/ /d/i/z/z/y/ /a/ /l/i/t/t/l/e/./,/(/A/w/k/w/a/r/d/ /a/t/m/o/s/p/h/e/r/e/ /i/s/ /f/l/o/w/i/n/g/./)/,/T/i/m/e/ /w/i/l/l/ /f/l/i/e/s/ /f/a/s/t/e/r/ /t/h/a/n/ /n/o/w/ /I/f/ /y/o/u/'/r/e/ /h/a/v/i/n/g/ /f/u/n/.,/I/ /a/m/ /d/i/s/a/p/p/o/i/n/t/e/d/ /b/e/c/a/u/s/e/ /t/h/e/r/e/ /i/s/ /n/o/ /m/i/r/r/o/r/ /h/e/r/e/./,/I/ /d/i/d/ /n/o/t/ /o/r/g/a/n/i/z/e/ /m/y/ /c/l/o/t/h/e/s/ /p/r/o/p/e/r/l/y/ /s/o/ /t/h/e/y/ /a/r/e/ /a/l/l/ /c/r/u/m/p/l/e/d/./ ////////E/w/w/././,/(/Y/o/u/ /a/r/e/ /s/t/r/o/k/i/n/g/ /b/a/c/k/ /o/f/ /y/o/u/r/ /h/a/n/d/s/ /a/n/d/ /l/o/c/k/i/n/g/ /y/o/u/r/ /f/i/n/g/e/r/s/./)/,/I/s/n/'/t/ /t/h/e/r/e/ /s/o/m/e/t/h/i/n/g/ /t/h/a/t/ /r/e/f/r/e/s/h/e/s/ /m/y/ /m/i/n/d/././?/ /////////A/n/y/w/h/e/r/e/ /I/ /c/a/n/ /g/e/t/ /r/i/d/ /o/f/ /m/y/ /s/t/u/f/f/./,/F/r/u/i/t/ /b/e/v/e/r/a/g/e/s/ /a/r/e/ /g/o/o/d/ /b/u/t/ /a/b/o/v/e/ /a/l/l/ /e/a/t/i/n/g/ /f/r/u/i/t/ /i/s/ /g/o/o/d/./,/I/ /o/p/e/n/e/d/ /t/h/e/ /d/i/c/t/i/o/n/a/r/y/ /t/o/ /l/e/a/r/n/ /E/n/g/l/i/s/h/ /b/u/t/ /I/ /c/o/v/e/r/e/d/ /i/t/ /a/g/a/i/n/ /b/e/c/a/u/s/e/ /I/ /d/i/d/ /n/o/t/ /k/n/o/w/ /m/a/n/y/ /w/o/r/d/s/././,/M/a/y/b/e/ /d/o/e/s/ /a/ /f/a/i/r/y/ /e/x/i/s/t/ /w/h/o/ /m/a/k/e/s/ /r/a/i/n/?/ ///////I/ /h/a/v/e/ /i/m/a/g/i/n/e/d/ /i/t/./
52,/(/Y/o/u/ /a/r/e/ /c/l/o/s/i/n/g/ /y/o/u/r/ /e/y/e/s/./)/,/I/'/m/ /j/u/s/t/ /s/i/t/t/i/n/g/ /o/n/ /t/h/e/ /f/l/o/o/r/./././,/I/ /l/o/o/k/e/d/ /d/o/w/n/ /b/e/c/a/u/s/e/ /I/ /f/e/l/t/ /i/t/c/h/y/./ ///////T/h/e/r/e/ /w/a/s/ /a/ /l/i/t/t/l/e/ /b/u/g/ /c/r/a/w/l/i/n/g/ /o/n/ /m/y/ /f/o/o/t/.,/I/t/ /i/s/ /h/a/r/d/ /t/o/ /u/s/e/ /m/y/ /b/r/a/i/n/./ ///////A/l/w/a/y/s/./,/I/ /h/a/t/e/ /w/a/t/c/h/i/n/g/ /s/c/a/r/y/ /m/o/v/i/e/s/ /a/l/o/n/e/./ /I/ /h/a/t/e/ /f/e/e/l/i/n/g/ /s/c/a/r/e/d/./,/I/ /h/a/v/e/ /m/a/d/e/ /a/ /m/i/s/t/a/k/e/ /w/h/i/l/e/ /p/u/t/t/i/n/g/ /a/ /s/t/i/c/k/e/r/ /o/n/ /i/t/ /s/o/ /I/ /w/i/l/l/ /d/o/ /w/e/l/l/ /a/t/ /t/h/i/s/ /t/i/m/e/./,/I/t/ /w/o/u/l/d/ /b/e/ /n/i/c/e/ /t/o/ /t/r/a/v/e/l/ /s/o/m/e/w/h/e/r/e/./ /////////N/o/ /m/a/t/t/e/r/ /t/h/a/t/ /i/t/ /w/a/s/ /m/o/u/n/t/a/i/n/s/ /o/r/ /v/a/l/l/e/y/s/./,/I/ /t/h/i/n/k/ /i/t/ /i/s/ /w/e/i/r/d/ /b/o/t/h/ /o/f/ /t/o/ /g/e/t/ /a/ /g/i/f/t/ /f/r/o/m/ /s/o/m/e/o/n/e/ /a/n/d/ /t/o/ /g/i/v/e/ /a/ /g/i/f/t/ /t/o/ /s/o/m/e/o/n/e/./,/(/Y/o/u/ /h/a/v/e/ /b/e/e/n/ /c/l/e/n/c/h/i/n/g/ /a/n/d/ /o/p/e/n/i/n/g/ /y/o/u/r/ /f/i/s/t/s/./ /Y/o/u/ /a/r/e/ /r/e/l/e/a/s/i/n/g/ /t/h/e/ /t/e/n/s/i/o/n/ /i/n/ /y/o/u/r/ /f/i/n/g/e/r/s/./)/,/Y/o/u/ /a/r/e/ /r/i/g/h/t/./ /T/h/i/s/ /i/s/ /n/o/t/ /t/h/e/ /t/i/m/e/ /t/o/ /b/e/ /d/o/i/n/g/ /t/h/i/s/./ ///////I/ /n/e/e/d/ /t/o/ /m/o/v/e/ /m/y/ /b/o/d/y././
53,/M/y/ /r/o/o/m/.//////.////// /H/m/m/.///////./////,/M/y/ /b/a/c/k/ /i/s/ /i/t/c/h/y/ /b/u/t/ /I/ /c/a/n/n/o/t/ /r/e/a/c/h/ /t/h/e/r/e/./,/I/ /d/o/ /n/o/t/ /n/e/e/d/ /s/u/n/s/c/r/e/e/n/ /i/n/ /t/h/i/s/ /w/e/a/t/h/e/r/./,/I/ /m/a/d/e/ /a/ /m/i/s/t/a/k/e/ /w/h/e/n/ /I/ /p/u/t/ /a/ /s/t/i/c/k/e/r/ /o/n/ /i/t///////.///////.,/I/ /w/o/u/l/d/ /l/i/k/e/ /t/o/ /h/a/v/e/ /a/ /d/i/n/n/e/r/ /o/f/ /w/a/r/m/ /K/o/r/e/a/n/ /p/a/n/c/a/k/e/s/ /o/n/ /o/n/e/ /o/f/ /t/h/e/s/e/ /r/a/i/n/y/ /d/a/y/s/./,/I/ /w/a/n/t/ /t/o/ /g/o/ /t/o/ /t/h/e/ /s/e/a/./ /I/t/'/s/ /b/e/e/n/ /a/ /l/o/n/g/ /t/i/m/e/ /I/'/v/e/ /b/e/e/n/ /t/h/e/r/e/./,/I/ /f/e/l/t/ /s/i/c/k/ /m/o/r/e/ /b/e/c/a/u/s/e/ /n/o/ /o/n/e/ /a/r/o/u/n/d/ /m/e/ /w/h/e/n/ /I/'/m/ /s/i/c/k/./ /N/o/w/ /I/'/m/ /g/e/t/t/i/n/g/ /b/e/t/t/e/r/./,/I/ /t/h/i/n/k/ /t/h/e/ /s/k/y/ /w/i/l/l/ /b/e/ /v/e/r/y/ /c/l/e/a/r/ /a/f/t/e/r/ /t/h/e/ /r/a/i/n/ /s/t/o/p/s/./ /////T/h/e/ /a/i/r/ /m/u/s/t/ /b/e/ /c/l/e/a/n/./,/(/Y/o/u/ /s/m/i/l/e/ /w/h/e/n/ /y/o/u/r/ /e/y/e/s/ /m/e/e/t/ /m/e/ /w/h/i/l/e/ /y/a/w/n/i/n/g/ /q/u/i/e/t/l/y/./)/,/W/h/e/n/ /I/ /a/m/ /t/i/r/e/d/ /I/ /a/m/ /t/i/r/e/d/ /o/f/ /d/o/i/n/g/ /a/n/y/t/h/i/n/g/./ /I/ /h/a/v/e/ /t/o/ /g/e/t/ /t/h/r/o/u/g/h/ /i/t/./
54,/././S/h/o/u/l/d/ /I/ /d/o/ /s/o/m/e/t/h/i/n/g/?/,/I/'/m/ /n/o/t/ /s/u/r/e/ /i/f/ /I/'/m/ /d/o/i/n/g/ /w/e/l/l/./,/I/ /t/h/i/n/k/ /I/ /h/a/v/e/ /f/r/e/q/u/e/n/t/l/y/ /e/a/t/e/n/ /d/e/l/i/v/e/r/y/ /f/o/o/d/s/ /s/o/ /t/h/a/t/ /I/ /h/a/v/e/ /l/o/s/t/ /m/y/ /h/e/a/l/t/h/y/./,/I/ /d/o/ /n/o/t/ /w/a/n/t/ /t/o/ /h/a/v/e/ /a/ /b/a/d/ /d/r/e/a/m///////.//////./////// /Y/o/u/ /w/i/l/l/ /a/s/ /w/e/l/l/./,/I/ /f/e/e/l/ /g/o/o/d/ /w/h/e/n/ /I/ /j/u/s/t/ /i/m/a/g/i/n/e/ /s/o/m/e/t/h/i/n/g/ /w/a/r/m/ /o/n/ /a/ /c/o/l/d/ /d/a/y/./,/O/n/e/ /d/a/y/ /I/ /w/a/n/t/ /t/o/ /l/i/v/e/ /a/ /l/i/f/e/ /t/h/a/t/ /b/r/i/n/g/s/ /m/e/ /s/m/a/l/l/ /h/a/p/p/i/n/e/s/s/ /e/v/e/n/ /i/f/ /i/t/ /i/s/ /n/o/t/ /a/ /b/r/i/l/l/i/a/n/t/ /a/n/d/ /c/o/l/o/r/f/u/l/ /l/i/f/e/./,/A/ /c/u/p/ /o/f/ /w/a/r/m/ /t/e/a/ /w/i/l/l/ /m/a/k/e/ /y/o/u/ /f/e/e/l/ /w/a/r/m/e/r/./,/I/ /f/e/e/l/ /g/o/o/d/ /b/e/c/a/u/s/e/ /I/ /c/a/n/ /e/a/t/ /d/e/l/i/c/i/o/u/s/ /f/o/o/d/ /t/h/e/s/e/ /d/a/y/s/./,/I/ /d/o/ /n/o/t/ /t/h/i/n/k/ /i/t/ /i/s/ /b/a/d/ /t/o/ /h/a/v/e/ /a/ /m/e/a/n/i/n/g/l/e/s/s/ /d/a/y/./,/I/ /h/o/p/e/ /I/ /h/a/v/e/ /a/ /p/e/a/c/e/f/u/l/ /d/a/y/ /w/i/t/h/o/u/t/ /a/n/y/ /w/o/r/r/i/e/d/./////// /I/t/ /i/s/ /n/o/t/ /e/a/s/y/ /o/f/ /c/o/u/r/s/e/./
